新 1,いざ皆来たりて
新 2,称えよ救い主イェスを
新 3,天地（あめつち）の御神をば　
新 4,子羊をば
新 5,御使（みつか）いよ伏して
新 6,いざや共に
新 7,主の御稜威（みいつ）と
新 8,七日の旅路
新 9,力の主を
新 10,天地（あめつち）に勝る
新 11,褒め称えよ造り主を
新 12,力なる神に向かって
新 13,愛に富む御神（みかみ）に
新 14,誉（ほ）めよ御神（みかみ）を
新 15,我らの御神（みかみ）は
新 16,いざや諸共（もろとも）に
新 17,主を誉（ほ）めよ我が心
新 18,おお御神を褒め奉
新 19,救いを成し給う
新 20,主の真実は奇しきかな
新 21,輝く日を仰ぐとき　
新 22,御神の愛をば（喜びの歌）
新 23,父の神よ　夜は去りて
新 24,聖なる我らの主
新 25,黄昏（たそがれ）ややに
新 26,我が主の御業（みわざ）は
新 27,来る朝毎（ごと）に
新 28,御神の恵みを
新 29,我が主よ我が神よ
新 30,主の御名（みな）称（たた）え
新 31,豊（ゆた）けき主の愛
新 32,御心（みこころ）を痛め
新 33,我罪人の頭（かしら）
新 34,主よ汝（な）が前をば
新 35,告げよ主に
新 36,我と主の間に
新 37,主よ命の言葉を
新 38,我が目を開きて
新 39,御声（みこえ）聞くとて
新 40,ガリラヤの風薫る丘で
新 41,御言葉を下さい
新 42,誉むべきかな
新 43,我が君イェスよ
新 44,罪に汚れしこの身をば
新 45(374),十字架の血に
新 46,我が主よ今此処に来て
新 47,主の聖き机（つくえ）より
新 48,十字架の上に
新 49(507),染みも咎も
新 50,心を高く上げよう
新 51,御弟子らに囲まれ
新 52,備え給（たま）いし
新 53,主の祈り
新 54,主の祈り
新 55,今捧ぐる
新 56,賜（たま）いし物
新 57,このささげものは
新 58,主よ我らを祝し
新 59Ⅰ,アーメン　一唱
新 59Ⅱ,アーメン　一唱
新 59Ⅲ,アーメン　二唱
新 59Ⅳ,アーメン　二唱
新 59Ⅴ,アーメン　三唱
新 59Ⅵ,アーメン　三唱
新 59Ⅶ,アーメン　四唱
新 59Ⅷ,アーメン　七唱
新 60,天地こぞりて
新 61,御恵み溢（あふ）るる
新 62,天津御民も
新 63,父　御子　御霊の
新 64,父なる神
新 65,恵みとまことに
新 66,今こそ来ませ
新 67,我が心は天津神を
新 68,久しく待ちにし
新 69,エサイの根より
新 70,朝日は昇りて
新 71(291),良き訪（おとず）れ
新 72,我が心主を誉（ほ）め
新 73,生ける物全て
新 74,世の人忘るな
新 75,神の御子は
新 76,諸人挙りて
新 77,清しこの夜
新 78,荒野の果てに　　
新 79,天には栄え
新 80,天なる神には　
新 81,諸人声上げ
新 82,牧人羊を
新 83,馬槽の傍（かたえ）に
新 84,ああベツレヘムよ
新 85,羊は眠れり
